601,179,707,172,709,199,603,207
587,143,718,133,720,163,589,174
913,133,1006,77,1024,112,932,169
648,245,708,247,708,269,647,267
599,277,672,279,672,303,599,301
591,250,641,249,642,272,592,273
663,410,717,408,718,421,664,424
608,409,664,412,664,425,607,422
600,223,643,225,643,242,599,241
348,268,406,269,406,280,347,279
679,276,722,281,720,304,676,299
658,114,691,117,690,129,657,127
233,121,294,158,280,183,220,146
638,366,696,368,695,382,638,380
642,381,686,382,686,394,642,393
624,115,652,114,653,127,625,128
598,120,629,116,630,130,600,134
