27,53,249,63,247,115,25,105
13,367,258,353,260,393,14,406
263,345,432,339,433,374,264,380
112,107,250,117,248,142,110,132
186,410,270,401,272,423,188,432
209,448,289,437,291,453,211,464
74,424,138,417,140,442,76,449
396,476,443,468,445,482,398,490
53,103,128,110,126,135,51,128
321,390,381,384,383,405,323,412
136,416,190,411,191,433,137,438
18,431,68,429,68,453,19,455
272,397,316,392,318,414,274,420
336,428,381,420,383,434,338,442
373,386,435,378,437,395,375,403
169,453,209,450,211,465,170,469
314,493,370,483,372,497,316,507
389,414,432,409,433,427,391,432
292,435,317,432,319,447,293,450
