501,48,817,89,810,155,494,114
292,-7,467,30,449,123,275,85
1036,209,1107,205,1108,219,1037,223
1005,354,1079,358,1078,374,1004,369
1001,242,1060,239,1060,252,1002,255
1017,196,1085,192,1085,207,1018,210
1011,385,1061,388,1060,402,1011,398
1062,311,1114,312,1113,326,1062,325
1016,182,1065,179,1066,193,1017,196
1057,121,1097,117,1098,131,1058,135
997,211,1045,213,1045,229,996,226
1000,228,1051,225,1051,238,1001,241
1056,107,1094,102,1096,116,1057,120
1104,130,1135,127,1136,141,1106,144
1001,311,1061,312,1061,327,1001,326
1060,137,1094,134,1095,148,1061,151
1107,146,1144,142,1145,157,1108,160
1142,140,1178,137,1178,152,1143,154
992,184,1024,183,1024,198,992,199
1060,153,1093,149,1095,163,1062,167
995,198,1026,198,1026,213,995,212
996,157,1022,155,1023,168,996,170
1017,154,1042,152,1043,167,1018,169
