212,139,319,131,321,153,213,160
161,443,214,449,212,471,159,465
316,135,377,128,378,141,317,148
160,153,215,146,216,162,162,168
940,163,1000,162,1001,184,940,184
151,252,195,254,194,273,150,272
436,120,486,114,488,128,437,133
162,349,201,350,201,369,162,368
1011,124,1057,122,1057,135,1012,136
1008,137,1059,134,1060,146,1008,149
1013,150,1055,149,1055,160,1014,161
1012,112,1047,111,1047,123,1013,124
375,128,411,124,412,138,377,141
409,123,432,121,433,135,409,136
1187,92,1212,91,1213,103,1188,104
1209,91,1244,88,1245,100,1210,103
1246,87,1267,86,1268,98,1247,100
